random_moves,hillclimber_moves
43144,42984
11083,10949
11515,11389
41625,41625
32719,32559
64348,64348
8783,8607
53207,53046
5983,5896
26588,26411
10420,10252
91846,91657
10592,10421
89277,89113
10567,10380
Not solved,Not solved
50905,50720
6932,6756
17931,17780
17151,16986
15371,15208
14115,14100
50761,50761
19083,18928
13629,13468
64660,64498
18856,18707
16749,16587
82440,82265
3949,3792
47369,47192
29462,29412
9765,9601
49213,49052
20540,20377
85350,85206
32269,32115
36853,36695
51671,51510
Not solved,Not solved
51123,50955
61158,60990
9696,9524
67938,67763
11516,11360
37835,37671
29154,28986
36861,36675
21761,21589
25104,24928
17078,16911
26650,26472
1924,1755
42153,42141
31164,30987
5813,5664
30281,30097
Not solved,Not solved
68909,68738
13878,13694
16050,15900
42883,42712
Not solved,Not solved
13801,13638
37449,37292
26786,26607
13827,13667
72348,72190
29230,29044
22880,22725
10353,10172
10259,10096
12619,12450
46699,46552
11286,11113
14246,14089
33204,33042
36796,36635
4230,4062
1749,1595
18259,18079
13014,13014
17259,17182
18057,17885
14159,13998
58734,58570
22414,22256
90729,90729
11939,11782
81420,81259
48442,48249
25384,25214
20457,20296
22689,22508
31161,31066
11241,11081
33511,33353
2387,2216
Not solved,Not solved
12205,12051
