random_moves,optimized_hillclimber_moves,runtime
19232,18874,0.46118712425231934
22115,21785,0.5201590061187744
30133,29807,0.9421720504760742
67699,67339,1.5873363018035889
55438,55438,1.241650104522705
45818,45464,1.1415560245513916
49123,48781,1.1549310684204102
5785,5455,0.14720678329467773
6306,5982,0.19025707244873047
64145,63831,1.4713118076324463
15366,15042,0.36326098442077637
19090,18748,0.45011305809020996
6845,6501,0.16876220703125
83579,83263,1.9659967422485352
12458,12456,0.28539395332336426
10937,10593,0.26235008239746094
41826,41508,1.011368989944458
40380,40050,0.937053918838501
9685,9685,0.22051501274108887
36023,35697,0.8360152244567871
96477,96179,2.2129299640655518
61544,61232,1.426408290863037
Not solved,Not solved,N/A
70246,69872,1.6298189163208008
29197,28853,0.6839370727539062
22292,22292,0.4998152256011963
66021,65701,1.5186431407928467
20948,20614,0.49381422996520996
4391,4049,0.11179590225219727
8539,8209,0.20701313018798828
76455,76123,1.7526562213897705
3475,3161,0.09010505676269531
6268,5912,0.1529407501220703
28723,28411,0.667604923248291
31823,31539,0.7327799797058105
26768,26420,0.6227569580078125
13130,13130,0.29439306259155273
19159,18805,0.4526050090789795
41096,40742,0.9523818492889404
69174,68840,1.5862019062042236
95660,95306,2.230271100997925
Not solved,Not solved,N/A
86755,86429,1.9912848472595215
32862,32538,0.7660958766937256
20246,19912,0.47704005241394043
17625,17281,0.4180030822753906
Not solved,Not solved,N/A
8163,8163,0.18673992156982422
75773,75429,1.7429897785186768
3849,3849,0.09112882614135742
69576,69262,1.5872550010681152
36051,35715,0.834388017654419
7726,7374,0.1892998218536377
23522,23176,0.5521080493927002
51479,51147,1.1859352588653564
9494,9488,0.2140960693359375
8515,8165,0.20530009269714355
95304,95304,2.1135432720184326
34065,33715,0.7955448627471924
88394,88030,2.0255050659179688
31450,31110,0.7341561317443848
39553,39213,1.1951117515563965
6312,5988,0.15535306930541992
12658,12314,0.30219221115112305
38025,37717,0.9314718246459961
10568,10260,0.2530250549316406
14580,14248,0.33988213539123535
6748,6438,0.16367697715759277
13314,13000,0.31060004234313965
47505,47203,1.1078178882598877
29154,28798,0.6802058219909668
28645,28309,0.6601860523223877
2744,2742,0.06333088874816895
45473,45189,1.035970687866211
Not solved,Not solved,N/A
49726,49726,1.144831895828247
11203,10899,0.29677534103393555
3664,3346,0.09252357482910156
64576,64228,1.485166072845459
51183,50877,1.1745169162750244
28836,28488,0.7456278800964355
61495,61125,1.723888874053955
11760,11470,0.34154272079467773
18742,18362,0.5496001243591309
12023,11665,0.3446319103240967
21668,21342,0.6155369281768799
45048,45048,1.2237627506256104
21176,20856,0.590749979019165
36669,36333,1.0031452178955078
27193,26865,0.7859029769897461
31121,30787,0.861274242401123
17616,17276,0.4935767650604248
4744,4416,0.13701295852661133
Not solved,Not solved,N/A
70038,69712,1.9296939373016357
44915,44565,1.160254955291748
69769,69439,1.6143150329589844
97955,97625,2.2751622200012207
31467,31129,0.7369837760925293
31091,30753,0.7249388694763184
