random_moves,hillclimber_moves
49322,49152
57012,56848
45551,45408
11729,11563
6746,6577
25652,25495
32616,32450
7244,7062
3486,3309
42782,42615
15568,15403
43719,43547
4962,4804
28185,28024
48847,48673
15005,14830
2981,2829
14579,14400
3359,3180
44342,44176
34670,34497
55227,55043
10343,10185
22494,22341
18967,18789
25818,25662
46042,45867
24333,24160
20201,20045
4105,3952
Not solved,Not solved
24773,24591
10949,10780
13440,13280
12693,12529
12006,11844
59112,58942
40992,40821
11270,11108
45884,45704
11684,11510
9853,9669
56665,56502
25948,25784
13344,13182
42461,42298
2848,2676
6217,6041
4352,4173
7883,7709
19463,19291
20267,20109
45323,45149
19690,19519
Not solved,Not solved
29630,29588
48092,47915
97932,97773
80794,80619
36019,35860
36197,36038
12028,11862
34713,34536
57182,57011
15373,15215
25238,25070
59322,59149
16417,16250
63361,63269
19053,18880
71606,71441
45370,45196
6852,6681
21663,21491
8258,8093
19203,19036
13074,12913
11150,10973
5118,4932
Not solved,Not solved
17210,17042
42353,42173
6926,6769
30316,30133
16506,16330
21113,20945
27352,27176
63927,63763
42916,42751
11609,11451
21011,20846
26483,26304
7730,7561
55569,55412
51773,51600
37150,36988
15216,15050
7645,7484
18398,18252
6497,6335
