random_moves,optimized_hillclimber_moves,runtime
43742,43742,2.986403703689575
Not solved,Not solved,N/A
40469,40139,2.7565090656280518
53514,53212,3.6461970806121826
33463,33137,2.274005174636841
38085,37775,2.6285130977630615
Not solved,Not solved,N/A
Not solved,Not solved,N/A
Not solved,Not solved,N/A
Not solved,Not solved,N/A
52222,51866,3.572007179260254
Not solved,Not solved,N/A
Not solved,Not solved,N/A
59892,59538,4.062297105789185
Not solved,Not solved,N/A
66449,66151,4.499323844909668
90062,89700,5.533115863800049
95935,95613,5.961081027984619
Not solved,Not solved,N/A
Not solved,Not solved,N/A
53254,52890,3.6556379795074463
17212,16874,1.1309211254119873
Not solved,Not solved,N/A
39106,38766,2.519676923751831
Not solved,Not solved,N/A
51056,50720,3.2339062690734863
36640,36316,2.377619981765747
Not solved,Not solved,N/A
50904,50574,3.3022825717926025
34210,33946,2.126248836517334
40192,39838,2.5195600986480713
89834,89500,5.596451044082642
Not solved,Not solved,N/A
92353,91973,6.170273065567017
36696,36414,2.31783390045166
26419,26091,1.678534746170044
67155,66823,4.341246128082275
69148,68832,4.508914947509766
22763,22419,1.4561100006103516
49029,48739,3.0639712810516357
Not solved,Not solved,N/A
34117,33787,2.1330606937408447
19089,18753,1.1953208446502686
Not solved,Not solved,N/A
76314,75968,4.966173887252808
84943,84625,5.556448221206665
46515,46183,2.845884084701538
Not solved,Not solved,N/A
64641,64309,3.9657161235809326
44085,43781,2.7048091888427734
Not solved,Not solved,N/A
66241,65897,4.1234471797943115
Not solved,Not solved,N/A
62704,62412,3.806318998336792
Not solved,Not solved,N/A
Not solved,Not solved,N/A
7799,7469,0.49544382095336914
63480,63138,3.8510680198669434
49938,49610,3.0739219188690186
58009,57661,3.8697550296783447
9659,9311,0.778660774230957
41219,40883,2.5147831439971924
76478,76158,4.672132968902588
49177,48801,3.0741801261901855
74824,74484,4.567205905914307
92194,91870,5.618396043777466
7859,7551,0.5126059055328369
15355,14987,0.9826927185058594
Not solved,Not solved,N/A
30560,30234,2.1231942176818848
22798,22474,1.4371693134307861
83811,83491,5.323698043823242
Not solved,Not solved,N/A
76393,76057,5.23278021812439
91381,91057,5.699073076248169
13212,12840,0.8569951057434082
69536,69214,3.873213052749634
Not solved,Not solved,N/A
45837,45837,2.4582860469818115
39752,39412,2.1537790298461914
Not solved,Not solved,N/A
17402,17060,0.9611239433288574
Not solved,Not solved,N/A
Not solved,Not solved,N/A
Not solved,Not solved,N/A
75357,75017,4.0182459354400635
4331,4007,0.24941802024841309
52578,52224,2.801630973815918
Not solved,Not solved,N/A
69633,69257,4.1819798946380615
63795,63523,4.242140769958496
Not solved,Not solved,N/A
Not solved,Not solved,N/A
64823,64513,3.5642521381378174
35106,34762,2.0563700199127197
30160,29850,1.721991777420044
21334,20974,1.2222568988800049
Not solved,Not solved,N/A
Not solved,Not solved,N/A
33179,32831,1.9714760780334473
