random_moves,optimized_hillclimber_moves,runtime,improvement,board,size,iterations
4089,3767,0.2229590415954589,322,Board 6,9x9,500
25561,25269,1.2928071022033691,292,Board 6,9x9,500
38495,38173,1.9592227935791016,322,Board 6,9x9,500
5599,5273,0.299901008605957,326,Board 6,9x9,500
17381,17381,0.8518791198730469,0,Board 6,9x9,500
10307,9945,0.5341091156005859,362,Board 6,9x9,500
6000,5654,0.3256242275238037,346,Board 6,9x9,500
10956,10624,0.5630731582641602,332,Board 6,9x9,500
36396,36086,1.825227975845337,310,Board 6,9x9,500
27175,26827,1.3785169124603271,348,Board 6,9x9,500
96907,96907,4.671431064605713,0,Board 6,9x9,500
5989,5663,0.3251593112945556,326,Board 6,9x9,500
30432,30098,1.522568941116333,334,Board 6,9x9,500
17912,17566,0.9480981826782228,346,Board 6,9x9,500
9710,9710,0.4769458770751953,0,Board 6,9x9,500
39750,39426,2.0427379608154297,324,Board 6,9x9,500
20106,19792,1.0508341789245603,314,Board 6,9x9,500
4707,4361,0.3325381278991699,346,Board 6,9x9,500
33275,32947,1.667099952697754,328,Board 6,9x9,500
53457,53131,2.673987865447998,326,Board 6,9x9,500
10570,10222,0.5676419734954834,348,Board 6,9x9,500
35126,34808,1.7988998889923096,318,Board 6,9x9,500
31646,31304,1.626053810119629,342,Board 6,9x9,500
17043,16707,0.8950259685516357,336,Board 6,9x9,500
35696,35358,1.8508422374725344,338,Board 6,9x9,500
29524,29202,1.522104024887085,322,Board 6,9x9,500
22128,21794,1.1426658630371094,334,Board 6,9x9,500
14233,13883,0.7451908588409424,350,Board 6,9x9,500
20021,19719,1.0467736721038818,302,Board 6,9x9,500
17288,17014,0.8989052772521973,274,Board 6,9x9,500
18726,18726,0.9521987438201904,0,Board 6,9x9,500
22762,22426,1.2098188400268557,336,Board 6,9x9,500
19349,19031,1.0556268692016602,318,Board 6,9x9,500
7029,6707,0.3804259300231933,322,Board 6,9x9,500
19743,19439,0.9423501491546632,304,Board 6,9x9,500
23201,22839,1.0803709030151367,362,Board 6,9x9,500
62471,62155,2.8412699699401855,316,Board 6,9x9,500
32963,32963,1.4890639781951904,0,Board 6,9x9,500
26625,26301,1.223518133163452,324,Board 6,9x9,500
25832,25464,1.1957058906555176,368,Board 6,9x9,500
14665,14313,0.682960033416748,352,Board 6,9x9,500
22150,21860,1.0154438018798828,290,Board 6,9x9,500
9141,8819,0.4276237487792969,322,Board 6,9x9,500
2223,1917,0.1165277957916259,306,Board 6,9x9,500
6636,6294,0.3234679698944092,342,Board 6,9x9,500
59203,58851,2.7062299251556396,352,Board 6,9x9,500
53219,52857,2.427403211593628,362,Board 6,9x9,500
10766,10450,0.50140380859375,316,Board 6,9x9,500
42566,42260,1.9364376068115232,306,Board 6,9x9,500
38748,38398,1.7641608715057373,350,Board 6,9x9,500
47184,46878,2.1366591453552246,306,Board 6,9x9,500
11121,11121,0.501859188079834,0,Board 6,9x9,500
2609,2309,0.1436340808868408,300,Board 6,9x9,500
29132,28770,1.3434929847717283,362,Board 6,9x9,500
26932,26586,1.2588210105895996,346,Board 6,9x9,500
30941,30941,1.3777940273284912,0,Board 6,9x9,500
15051,15051,0.6697752475738525,0,Board 6,9x9,500
