moves,runtime,board,size,iterations
2202,103.07338070869446,Board 4,9x9,10000
588,105.43907022476196,Board 4,9x9,10000
1958,107.83633494377136,Board 4,9x9,10000
3196,105.38440322875977,Board 4,9x9,10000
4338,110.54450702667236,Board 4,9x9,10000
1016,106.46735215187071,Board 4,9x9,10000
1590,108.41554403305054,Board 4,9x9,10000
1000,109.13980269432068,Board 4,9x9,10000
2131,117.45195198059082,Board 4,9x9,10000
3439,69.54349899291992,Board 4,9x9,10000
302,108.61695575714111,Board 4,9x9,10000
3654,112.43103790283205,Board 4,9x9,10000
1802,12.379878997802734,Board 4,9x9,10000
202,108.64843392372131,Board 4,9x9,10000
7026,87.03208208084106,Board 4,9x9,10000
2037,17.588873147964478,Board 4,9x9,10000
1713,118.65230798721312,Board 4,9x9,10000
1416,9.109853982925417,Board 4,9x9,10000
3212,43.25935101509094,Board 4,9x9,10000
2742,108.22368621826172,Board 4,9x9,10000
415,108.19829797744752,Board 4,9x9,10000
941,78.55816292762756,Board 4,9x9,10000
3502,113.38491106033324,Board 4,9x9,10000
3124,109.61830401420592,Board 4,9x9,10000
2143,108.125550031662,Board 4,9x9,10000
5031,113.270742893219,Board 4,9x9,10000
1371,104.51378989219666,Board 4,9x9,10000
2358,112.12518501281738,Board 4,9x9,10000
2017,119.45491981506348,Board 4,9x9,10000
3171,114.72658801078796,Board 4,9x9,10000
326,109.02587485313416,Board 4,9x9,10000
2029,66.19021582603455,Board 4,9x9,10000
3483,112.66476702690125,Board 4,9x9,10000
778,107.72254586219788,Board 4,9x9,10000
3397,145.53551268577576,Board 4,9x9,10000
1343,108.50838589668274,Board 4,9x9,10000
220,107.47289609909058,Board 4,9x9,10000
1402,110.0206060409546,Board 4,9x9,10000
1811,39.77525997161865,Board 4,9x9,10000
1550,108.2551589012146,Board 4,9x9,10000
1467,117.53630375862122,Board 4,9x9,10000
643,14.312542915344238,Board 4,9x9,10000
2889,111.52456498146056,Board 4,9x9,10000
1285,32.252817153930664,Board 4,9x9,10000
2387,46.10201287269592,Board 4,9x9,10000
574,109.29447603225708,Board 4,9x9,10000
1159,112.41972208023073,Board 4,9x9,10000
1979,65.96705389022827,Board 4,9x9,10000
632,117.1797330379486,Board 4,9x9,10000
2907,51.42318415641785,Board 4,9x9,10000
2879,62.940080881118774,Board 4,9x9,10000
195,107.77334690093994,Board 4,9x9,10000
2151,111.7037398815155,Board 4,9x9,10000
1462,110.53644704818726,Board 4,9x9,10000
425,107.10602807998656,Board 4,9x9,10000
3700,122.73431181907654,Board 4,9x9,10000
4058,65.35517311096191,Board 4,9x9,10000
1265,110.34287691116332,Board 4,9x9,10000
1466,55.79102087020874,Board 4,9x9,10000
5363,115.59653615951538,Board 4,9x9,10000
1017,5.525914907455444,Board 4,9x9,10000
2735,108.15651822090148,Board 4,9x9,10000
4563,115.55968809127808,Board 4,9x9,10000
2783,119.22555017471312,Board 4,9x9,10000
4975,113.19392418861388,Board 4,9x9,10000
3846,85.49472117424011,Board 4,9x9,10000
1788,48.67489981651306,Board 4,9x9,10000
4924,111.13351011276244,Board 4,9x9,10000
1483,98.21991086006165,Board 4,9x9,10000
2155,82.23348498344421,Board 4,9x9,10000
859,95.97750902175903,Board 4,9x9,10000
1021,16.589974880218506,Board 4,9x9,10000
603,94.99400329589844,Board 4,9x9,10000
1388,112.75190663337708,Board 4,9x9,10000
1398,28.40029215812683,Board 4,9x9,10000
1565,96.81996321678162,Board 4,9x9,10000
2835,23.83102583885193,Board 4,9x9,10000
2765,96.43807005882265,Board 4,9x9,10000
2140,34.17216897010803,Board 4,9x9,10000
322,95.06664991378784,Board 4,9x9,10000
2848,95.94501399993896,Board 4,9x9,10000
2868,46.90980792045593,Board 4,9x9,10000
3212,102.02774500846864,Board 4,9x9,10000
70,98.5121579170227,Board 4,9x9,10000
1399,97.37487411499023,Board 4,9x9,10000
4084,33.444031953811646,Board 4,9x9,10000
7377,89.31428599357605,Board 4,9x9,10000
4041,96.58772492408752,Board 4,9x9,10000
3052,96.8584530353546,Board 4,9x9,10000
1539,100.12204790115356,Board 4,9x9,10000
7307,102.7466368675232,Board 4,9x9,10000
3158,96.47999501228333,Board 4,9x9,10000
3148,79.57788729667664,Board 4,9x9,10000
1682,44.86137580871582,Board 4,9x9,10000
913,97.37232422828674,Board 4,9x9,10000
1798,96.21966910362244,Board 4,9x9,10000
169,94.88996076583862,Board 4,9x9,10000
1186,2.987238883972168,Board 4,9x9,10000
4806,119.77561807632446,Board 4,9x9,10000
1713,105.712415933609,Board 4,9x9,10000
7493,94.30018472671507,Board 5,9x9,10000
8251,111.8357241153717,Board 5,9x9,10000
8711,113.46597003936768,Board 5,9x9,10000
8810,114.10276985168456,Board 5,9x9,10000
8114,115.47859716415404,Board 5,9x9,10000
5176,56.96311616897583,Board 5,9x9,10000
3616,119.52701091766356,Board 5,9x9,10000
8959,115.669899225235,Board 5,9x9,10000
4060,115.1676127910614,Board 5,9x9,10000
5901,76.52605295181274,Board 5,9x9,10000
2028,7.109255790710449,Board 5,9x9,10000
6664,113.56783485412598,Board 5,9x9,10000
9120,125.301509141922,Board 5,9x9,10000
2346,110.49137687683104,Board 5,9x9,10000
7248,113.70850205421448,Board 5,9x9,10000
4584,33.968721866607666,Board 5,9x9,10000
3169,112.20011591911316,Board 5,9x9,10000
2006,9.08381724357605,Board 5,9x9,10000
8752,117.23219513893127,Board 5,9x9,10000
2544,110.89549899101256,Board 5,9x9,10000
2288,112.8544352054596,Board 5,9x9,10000
3371,115.03069424629211,Board 5,9x9,10000
4369,111.2334451675415,Board 5,9x9,10000
6305,60.82918405532837,Board 5,9x9,10000
8833,125.60490608215332,Board 5,9x9,10000
4019,117.06109094619752,Board 5,9x9,10000
6579,117.56015110015868,Board 5,9x9,10000
655,110.9222002029419,Board 5,9x9,10000
8041,113.5978503227234,Board 5,9x9,10000
1088,10.788288116455078,Board 5,9x9,10000
5189,148.80976581573486,Board 5,9x9,10000
3654,111.68419098854064,Board 5,9x9,10000
3744,110.4631290435791,Board 5,9x9,10000
8833,116.38332486152648,Board 5,9x9,10000
5251,110.28204798698424,Board 5,9x9,10000
6906,112.34356498718262,Board 5,9x9,10000
6210,122.75445890426636,Board 5,9x9,10000
3119,114.58109593391418,Board 5,9x9,10000
8879,116.82772207260132,Board 5,9x9,10000
4601,113.89755320549013,Board 5,9x9,10000
1724,5.366155624389648,Board 5,9x9,10000
4755,112.55458998680116,Board 5,9x9,10000
7802,121.47415709495544,Board 5,9x9,10000
7734,115.3688702583313,Board 5,9x9,10000
3309,112.99758887290956,Board 5,9x9,10000
2329,110.09233403205872,Board 5,9x9,10000
8672,113.91560292243958,Board 5,9x9,10000
1509,120.06195616722108,Board 5,9x9,10000
6328,60.239463090896606,Board 5,9x9,10000
4976,120.67560696601868,Board 5,9x9,10000
8871,121.1805579662323,Board 5,9x9,10000
8807,115.97308492660522,Board 5,9x9,10000
3190,109.62889504432678,Board 5,9x9,10000
6295,123.41616678237916,Board 5,9x9,10000
5777,117.49253463745116,Board 5,9x9,10000
3805,112.47018694877625,Board 5,9x9,10000
3314,17.357531785964966,Board 5,9x9,10000
8220,117.1431257724762,Board 5,9x9,10000
8718,113.5796549320221,Board 5,9x9,10000
4259,58.36953377723694,Board 5,9x9,10000
6465,98.8909842967987,Board 5,9x9,10000
4416,101.36968278884888,Board 5,9x9,10000
7656,100.73237013816832,Board 5,9x9,10000
7802,116.64409899711607,Board 5,9x9,10000
7133,102.47680115699768,Board 5,9x9,10000
8458,101.33896017074584,Board 5,9x9,10000
4080,98.823557138443,Board 5,9x9,10000
8320,100.60780596733092,Board 5,9x9,10000
8999,101.12918877601624,Board 5,9x9,10000
5880,104.18750476837158,Board 5,9x9,10000
8262,106.31142020225523,Board 5,9x9,10000
5367,98.51151895523073,Board 5,9x9,10000
2376,97.57235980033876,Board 5,9x9,10000
2889,98.26978611946106,Board 5,9x9,10000
8664,101.34963083267212,Board 5,9x9,10000
3648,99.00041699409483,Board 5,9x9,10000
6462,104.43021893501282,Board 5,9x9,10000
2573,98.60453295707704,Board 5,9x9,10000
7352,100.55889225006104,Board 5,9x9,10000
3850,99.10782289505003,Board 5,9x9,10000
5540,99.215176820755,Board 5,9x9,10000
5720,100.13260793685912,Board 5,9x9,10000
5593,49.56058096885681,Board 5,9x9,10000
787,113.80776906013487,Board 5,9x9,10000
5918,108.0707869529724,Board 5,9x9,10000
8638,102.22373723983765,Board 5,9x9,10000
5174,100.82301092147829,Board 5,9x9,10000
6204,99.2987778186798,Board 5,9x9,10000
3333,20.469953060150143,Board 5,9x9,10000
3819,98.6040301322937,Board 5,9x9,10000
5803,97.99911308288574,Board 5,9x9,10000
8744,100.92794489860536,Board 5,9x9,10000
4256,91.26025295257568,Board 5,9x9,10000
2284,64.50992488861084,Board 5,9x9,10000
6974,66.88397002220154,Board 5,9x9,10000
2794,7.76565408706665,Board 5,9x9,10000
2970,69.65399599075317,Board 5,9x9,10000
7652,65.16388463973999,Board 5,9x9,10000
8794,60.3280770778656,Board 5,9x9,10000
5809,57.745392084121704,Board 5,9x9,10000
2156,7.096426010131836,Board 6,9x9,10000
9224,86.66251921653748,Board 6,9x9,10000
1755,4.090719938278198,Board 6,9x9,10000
9123,85.30366277694702,Board 6,9x9,10000
3303,9.379324913024902,Board 6,9x9,10000
9251,59.42262077331543,Board 6,9x9,10000
9182,58.7531099319458,Board 6,9x9,10000
9171,59.90549206733704,Board 6,9x9,10000
4491,14.344233989715576,Board 6,9x9,10000
9185,74.88680601119995,Board 6,9x9,10000
9245,71.97546911239624,Board 6,9x9,10000
9063,60.8736720085144,Board 6,9x9,10000
8631,55.94360280036926,Board 6,9x9,10000
1428,1.95514178276062,Board 6,9x9,10000
7773,45.2927348613739,Board 6,9x9,10000
7894,44.57860517501831,Board 6,9x9,10000
9286,60.24519419670105,Board 6,9x9,10000
861,0.9473190307617188,Board 6,9x9,10000
9151,60.05785512924194,Board 6,9x9,10000
2206,4.124254941940308,Board 6,9x9,10000
5736,25.005892992019653,Board 6,9x9,10000
7984,45.64480996131897,Board 6,9x9,10000
8629,60.02481484413147,Board 6,9x9,10000
9290,59.37057828903198,Board 6,9x9,10000
842,0.8515760898590088,Board 6,9x9,10000
9112,60.29428696632385,Board 6,9x9,10000
9104,60.33358883857727,Board 6,9x9,10000
4486,14.995280981063845,Board 6,9x9,10000
9193,59.69781708717346,Board 6,9x9,10000
9171,59.6715247631073,Board 6,9x9,10000
9285,60.31424903869629,Board 6,9x9,10000
9135,60.14401912689209,Board 6,9x9,10000
3912,11.509405851364136,Board 6,9x9,10000
9050,58.7601158618927,Board 6,9x9,10000
9316,58.722023248672485,Board 6,9x9,10000
9060,59.72977685928345,Board 6,9x9,10000
1620,2.2900781631469727,Board 6,9x9,10000
9033,61.49574303627014,Board 6,9x9,10000
9210,58.88305306434631,Board 6,9x9,10000
7979,46.52725386619568,Board 6,9x9,10000
