random_moves,sa_moves,runtime
25475,25473,61.204383850097656
55358,55358,69.59163880348206
9015,9013,56.0319299697876
23682,23680,57.93271088600159
Not solved,Not solved,N/A
40446,40444,58.7756552696228
61678,56934,60.42500710487366
53575,53575,59.34816312789917
63849,58529,57.94475078582764
7578,7578,55.309576988220215
18001,17999,52.989290952682495
10068,9062,51.97895002365112
24681,24681,51.75866389274597
31149,31149,55.534109354019165
14618,14618,53.09556794166565
18955,18955,52.66013193130493
19927,19925,54.78322720527649
31757,31755,57.29943013191223
5055,5053,53.53519892692566
3533,3531,53.51178598403931
3811,3809,55.46490025520325
44339,44337,56.62983417510986
82896,82894,59.95814919471741
90555,90553,59.987637758255005
36493,36493,55.37852215766907
41421,41419,56.47293186187744
919,919,52.10794687271118
5952,5950,53.11902117729187
83901,83899,58.470694065093994
50740,50740,57.02406287193298
12307,10940,54.72450518608093
14369,14369,55.886667013168335
13779,13779,54.033560037612915
30093,30091,63.991584062576294
22594,22592,58.25533318519592
22442,22442,53.51875686645508
14681,14679,47.108174085617065
46270,46270,48.99453520774841
7475,7473,46.41405987739563
48019,48017,51.17568278312683
12853,12853,47.583372831344604
8190,8188,52.25613212585449
30119,30117,51.129671812057495
22867,22867,48.27436923980713
6940,6940,46.39917016029358
2687,2687,45.62923192977905
15472,15472,49.162442207336426
5778,5778,49.34724307060242
99075,99073,58.10089111328125
29201,29201,47.635504961013794
33250,33250,47.08485293388367
25196,25194,48.22057104110718
7527,7527,45.861592054367065
26415,26415,45.95698094367981
Not solved,Not solved,N/A
3207,3205,43.376548290252686
6750,6750,47.02688193321228
1045,1043,45.51545333862305
9993,9991,45.91652727127075
Not solved,Not solved,N/A
Not solved,Not solved,N/A
65562,65560,48.345829248428345
9158,9156,43.4532151222229
43302,38491,46.8171169757843
26346,26346,45.28201508522034
96768,96768,52.885613679885864
18730,18728,46.488346099853516
50776,50776,47.3756468296051
2489,2487,44.39777708053589
34519,34519,46.128175258636475
29249,29247,45.3435697555542
Not solved,Not solved,N/A
16250,16250,45.99917984008789
54380,54380,48.982348918914795
14310,14310,46.72126817703247
15156,15154,45.10539698600769
15525,15523,44.54159688949585
34649,34647,45.77726197242737
Not solved,Not solved,N/A
63260,63258,48.64614295959473
12585,12585,44.71995401382446
52932,52930,48.81485915184021
9845,9845,45.60750198364258
19092,19090,44.74123573303223
29710,29708,45.43403697013855
29670,29670,45.33413600921631
41747,41745,36.32787203788757
2483,2481,32.68018412590027
7159,7157,33.75150489807129
18745,18745,33.73131275177002
20790,20788,33.741920948028564
3937,3935,32.72240161895752
38594,38592,34.56672811508179
26188,26188,33.914586782455444
23654,23654,34.153369188308716
23912,23910,33.95307493209839
8684,8682,33.438750982284546
20738,20738,33.95034313201904
41108,41106,34.77054810523987
34825,32147,34.34494495391846
