random_moves,sa_moves,runtime,board,improvement
20594.0,18878.0,17.61572790145874,Board 1,1716.0
7296.0,7294.0,17.608662128448486,Board 1,2.0
517.0,515.0,16.83041000366211,Board 1,2.0
4857.0,4453.0,17.610296964645386,Board 1,404.0
44572.0,41601.0,19.239388942718502,Board 1,2971.0
3845.0,3843.0,17.29553723335266,Board 1,2.0
1253.0,1251.0,17.03128170967102,Board 1,2.0
6440.0,6438.0,17.772116899490356,Board 1,2.0
1395.0,1302.0,17.38819193840027,Board 1,93.0
5025.0,4667.0,17.619964838027954,Board 1,358.0
34298.0,31660.0,19.188354015350345,Board 1,2638.0
40474.0,40472.0,19.711588859558105,Board 1,2.0
2236.0,2013.0,17.79840087890625,Board 1,223.0
10049.0,10047.0,17.584789991378784,Board 1,2.0
5492.0,5492.0,17.618712663650513,Board 1,0.0
5171.0,4741.0,17.548973083496094,Board 1,430.0
20889.0,20887.0,18.952527284622192,Board 1,2.0
3971.0,3969.0,17.87636089324951,Board 1,2.0
45134.0,45132.0,19.59123396873474,Board 1,2.0
4616.0,4614.0,17.79206895828247,Board 1,2.0
56625.0,52850.0,20.091599941253666,Board 1,3775.0
11960.0,11958.0,18.590868949890137,Board 1,2.0
518.0,516.0,17.776365995407104,Board 1,2.0
717.0,670.0,17.440611839294434,Board 1,47.0
14940.0,14940.0,18.165151119232178,Board 1,0.0
8853.0,8851.0,17.915475845336914,Board 1,2.0
41453.0,41451.0,21.01690411567688,Board 1,2.0
12832.0,12832.0,26.94404697418213,Board 1,0.0
26546.0,22754.0,25.79069995880127,Board 1,3792.0
2265.0,2114.0,20.160732746124268,Board 1,151.0
51428.0,51426.0,27.868465900421143,Board 1,2.0
5562.0,4944.0,18.547959089279175,Board 1,618.0
46598.0,46598.0,20.27649998664856,Board 1,0.0
22871.0,22869.0,18.68602514266968,Board 1,2.0
5607.0,4907.0,17.807188034057617,Board 1,700.0
8443.0,8441.0,18.27896094322205,Board 1,2.0
8359.0,7716.0,17.848893880844116,Board 1,643.0
23939.0,23939.0,18.63328790664673,Board 1,0.0
10428.0,10428.0,18.633183002471924,Board 1,0.0
3130.0,3130.0,17.606085062026978,Board 1,0.0
7244.0,7244.0,17.716007947921753,Board 1,0.0
13388.0,13388.0,18.61572027206421,Board 1,0.0
19661.0,19661.0,18.295408248901367,Board 1,0.0
