random_moves,hillclimber_moves,improvement,board,size
3465,3307,158,Board 1,6x6
17860,17689,171,Board 1,6x6
2217,2061,156,Board 1,6x6
3482,3299,183,Board 1,6x6
11956,11769,187,Board 1,6x6
30794,30627,167,Board 1,6x6
38241,38097,144,Board 1,6x6
2425,2243,182,Board 1,6x6
18639,18488,151,Board 1,6x6
5303,5140,163,Board 1,6x6
8648,8480,168,Board 1,6x6
6072,5904,168,Board 1,6x6
3056,2925,131,Board 1,6x6
9887,9727,160,Board 1,6x6
3491,3332,159,Board 1,6x6
3975,3838,137,Board 1,6x6
4283,4101,182,Board 1,6x6
12689,12506,183,Board 1,6x6
4108,3941,167,Board 1,6x6
31208,31044,164,Board 1,6x6
22849,22695,154,Board 1,6x6
2885,2722,163,Board 1,6x6
2578,2412,166,Board 1,6x6
35426,35238,188,Board 1,6x6
4443,4264,179,Board 1,6x6
33259,33077,182,Board 1,6x6
19877,19713,164,Board 1,6x6
24957,24792,165,Board 1,6x6
4049,3876,173,Board 1,6x6
1511,1349,162,Board 1,6x6
12695,12534,161,Board 1,6x6
14651,14483,168,Board 1,6x6
2493,2320,173,Board 1,6x6
28425,28272,153,Board 1,6x6
525,370,155,Board 1,6x6
594,442,152,Board 1,6x6
29209,29041,168,Board 1,6x6
20357,20191,166,Board 1,6x6
7655,7483,172,Board 1,6x6
2557,2370,187,Board 1,6x6
29973,29815,158,Board 1,6x6
12541,12364,177,Board 1,6x6
17619,17435,184,Board 1,6x6
16379,16194,185,Board 1,6x6
4439,4285,154,Board 1,6x6
30458,30282,176,Board 1,6x6
24989,24822,167,Board 1,6x6
39313,39158,155,Board 1,6x6
825,652,173,Board 1,6x6
2605,2429,176,Board 1,6x6
4200,4020,180,Board 1,6x6
18867,18695,172,Board 1,6x6
11077,10907,170,Board 1,6x6
5621,5435,186,Board 1,6x6
4973,4818,155,Board 1,6x6
31189,31042,147,Board 1,6x6
2099,1936,163,Board 1,6x6
639,458,181,Board 1,6x6
993,823,170,Board 1,6x6
24613,24418,195,Board 1,6x6
20908,20737,171,Board 1,6x6
28362,28197,165,Board 1,6x6
16029,15859,170,Board 1,6x6
1208,1044,164,Board 1,6x6
16553,16383,170,Board 1,6x6
19590,19429,161,Board 1,6x6
1234,1076,158,Board 1,6x6
13797,13627,170,Board 1,6x6
15574,15391,183,Board 1,6x6
9953,9795,158,Board 1,6x6
13613,13430,183,Board 1,6x6
6930,6788,142,Board 1,6x6
61299,61155,144,Board 1,6x6
5948,5761,187,Board 1,6x6
8630,8462,168,Board 1,6x6
7705,7551,154,Board 1,6x6
10868,10715,153,Board 1,6x6
8390,8227,163,Board 1,6x6
5142,4987,155,Board 1,6x6
9108,8942,166,Board 1,6x6
10422,10273,149,Board 1,6x6
6725,6554,171,Board 1,6x6
6732,6567,165,Board 1,6x6
22219,22041,178,Board 1,6x6
2467,2322,145,Board 1,6x6
2427,2252,175,Board 1,6x6
1806,1637,169,Board 1,6x6
11871,11717,154,Board 1,6x6
24928,24779,149,Board 1,6x6
18462,18289,173,Board 1,6x6
3584,3406,178,Board 1,6x6
9981,9817,164,Board 1,6x6
