moves,board,size
62371,Board 5,9x9
29004,Board 5,9x9
3567,Board 5,9x9
40609,Board 5,9x9
39638,Board 5,9x9
34965,Board 5,9x9
39480,Board 5,9x9
19548,Board 5,9x9
59160,Board 5,9x9
103022,Board 5,9x9
15413,Board 5,9x9
22391,Board 5,9x9
66894,Board 5,9x9
30869,Board 5,9x9
59462,Board 5,9x9
10594,Board 5,9x9
110788,Board 5,9x9
17336,Board 5,9x9
19242,Board 5,9x9
72202,Board 5,9x9
20548,Board 5,9x9
48096,Board 5,9x9
101387,Board 5,9x9
55353,Board 5,9x9
76333,Board 5,9x9
20683,Board 5,9x9
35495,Board 5,9x9
13744,Board 5,9x9
54542,Board 5,9x9
67764,Board 5,9x9
25022,Board 5,9x9
120318,Board 5,9x9
46285,Board 5,9x9
7955,Board 5,9x9
43962,Board 5,9x9
48254,Board 5,9x9
32368,Board 5,9x9
14822,Board 5,9x9
8860,Board 5,9x9
27702,Board 5,9x9
30833,Board 5,9x9
8263,Board 5,9x9
119497,Board 5,9x9
46780,Board 5,9x9
12998,Board 5,9x9
39583,Board 5,9x9
33678,Board 5,9x9
61118,Board 5,9x9
43348,Board 5,9x9
33018,Board 5,9x9
3201,Board 5,9x9
2610,Board 5,9x9
83859,Board 5,9x9
68574,Board 5,9x9
56765,Board 5,9x9
14025,Board 5,9x9
20021,Board 5,9x9
74725,Board 5,9x9
15966,Board 5,9x9
62286,Board 5,9x9
81008,Board 5,9x9
103741,Board 5,9x9
91465,Board 5,9x9
98663,Board 5,9x9
73416,Board 5,9x9
9742,Board 5,9x9
11132,Board 5,9x9
70116,Board 5,9x9
73293,Board 5,9x9
33702,Board 5,9x9
42226,Board 5,9x9
30398,Board 5,9x9
42614,Board 5,9x9
9370,Board 5,9x9
13907,Board 5,9x9
34069,Board 5,9x9
13694,Board 5,9x9
11011,Board 5,9x9
15708,Board 5,9x9
11990,Board 5,9x9
71512,Board 5,9x9
16243,Board 5,9x9
41979,Board 5,9x9
16820,Board 5,9x9
85992,Board 5,9x9
92153,Board 5,9x9
4812,Board 5,9x9
35921,Board 5,9x9
45162,Board 5,9x9
43088,Board 5,9x9
11309,Board 5,9x9
11101,Board 5,9x9
40815,Board 5,9x9
70189,Board 5,9x9
73085,Board 5,9x9
152226,Board 5,9x9
73434,Board 5,9x9
133323,Board 5,9x9
38829,Board 5,9x9
2353,Board 2,6x6
3534,Board 2,6x6
4777,Board 2,6x6
2272,Board 2,6x6
507,Board 2,6x6
2987,Board 2,6x6
763,Board 2,6x6
1344,Board 2,6x6
4673,Board 2,6x6
2233,Board 2,6x6
7097,Board 2,6x6
704,Board 2,6x6
6200,Board 2,6x6
2518,Board 2,6x6
5406,Board 2,6x6
3842,Board 2,6x6
1184,Board 2,6x6
3279,Board 2,6x6
493,Board 2,6x6
7748,Board 2,6x6
1884,Board 2,6x6
1721,Board 2,6x6
1690,Board 2,6x6
3665,Board 2,6x6
1003,Board 2,6x6
922,Board 2,6x6
288,Board 2,6x6
419,Board 2,6x6
2920,Board 2,6x6
944,Board 2,6x6
1062,Board 2,6x6
1069,Board 2,6x6
1937,Board 2,6x6
1943,Board 2,6x6
639,Board 2,6x6
2998,Board 2,6x6
394,Board 2,6x6
3152,Board 2,6x6
649,Board 2,6x6
6866,Board 2,6x6
414,Board 2,6x6
1085,Board 2,6x6
333,Board 2,6x6
703,Board 2,6x6
1727,Board 2,6x6
4200,Board 2,6x6
2183,Board 2,6x6
738,Board 2,6x6
1228,Board 2,6x6
873,Board 2,6x6
7097,Board 2,6x6
3938,Board 2,6x6
